epoch,train_acc,train_loss
1,70.1211695132542,1.9769149678037705
2,78.38385509284149,1.6791809285073052
3,79.38464083371242,1.6227776543002908
4,79.9263884868285,1.551739078903853
5,80.4019684876556,1.5266987901729585
6,80.34407179190273,1.520530313299004
7,80.43505231380009,1.4921266500492663
8,80.72867127083248,1.4693443042499088
9,80.79483892312146,1.4656618725232533
10,80.98920640172035,1.4463568394959385
11,81.14221909763864,1.436175264578038
12,81.23733509780406,1.4164476915050848
13,81.22906414126794,1.4336491104716536
14,81.22492866299987,1.4093071734765727
15,81.31590918489724,1.4153481244013015
16,81.47719283735164,1.3961513600659614
17,81.60539266366155,1.4011600750730833
18,81.45237996774327,1.4021110012199893
19,81.32418014143336,1.3884638074555462
20,81.66328935941442,1.3750142697009944
21,81.44410901120715,1.3841575478275965
22,81.63847648980605,1.3801230539198297
23,81.94036640337455,1.3684208343255895
24,81.71705057689921,1.3829902052056045
25,81.57644431578512,1.38401784701036
26,81.9569083164468,1.373199999408841
27,81.93623092510649,1.369531998508725
28,81.93623092510649,1.368163340135384
29,81.7625408378479,1.3697518947786957
30,81.70050866382697,1.3702190534820342
31,83.09416484016377,1.2346680195025626
32,84.0618667548902,1.1522127704433816
33,84.48368553823249,1.102169795295578
34,85.54236797485629,1.0446411269527773
35,85.90629006244572,0.988485662629343
36,86.41081841114925,0.9565002940224485
37,86.39841197634506,0.929020861312787
38,87.32889458665895,0.8819872003562752
39,87.21723667342128,0.8558828902738295
40,87.63078450022745,0.8310738334554798
41,89.27256937264795,0.686012602263815
42,90.43877424424134,0.6067223769772176
43,90.97225094082131,0.5643378738448714
44,91.38993424589553,0.5208662960419983
45,91.67941772465986,0.500501737403424
46,92.02266242090897,0.4747130617904217
47,92.53546172614863,0.4412511968037355
48,92.89938381373805,0.42237578102876894
49,93.21368016211075,0.40384389433157386
50,93.19300277077043,0.3899448488300035
51,93.59414416277242,0.3639670897574545
52,93.58173772796825,0.36954560295399946
53,93.46180885819444,0.370500735378084
54,93.56519581489599,0.3566044108429675
55,93.65617633679335,0.3523989026128721
56,93.49075720607088,0.35373025053187646
57,93.59000868450437,0.3542977195584514
58,93.54038294528762,0.3518964072412802
59,93.5114345974112,0.35605637791469225
60,93.40391216244159,0.34938194766923514
